iter	RMSE
0	0.6552841802
1	0.6491640454
2	0.6428137665
3	0.6369211485
4	0.6317843724
5	0.6261195117
6	0.6231358874
7	0.6169149989
8	0.6097833351
9	0.6057044531
10	0.6008272445
11	0.5958341935
12	0.5899674156
13	0.5855160574
14	0.5809315338
15	0.5751832307
16	0.5682157555
17	0.5635220506
18	0.5601733416
19	0.5573439687
20	0.5527678545
21	0.5481500125
22	0.5440884872
23	0.5406434361
24	0.5386809367
25	0.5346991331
26	0.5321164632
27	0.5282482299
28	0.525392913
29	0.522671355
30	0.5197670658
31	0.5165441751
32	0.513747933
33	0.5106518898
34	0.5088040582
35	0.5059903774
36	0.5029474543
37	0.4998495981
38	0.4971688239
39	0.4939576402
40	0.4919801141
41	0.4884809998
42	0.4857286179
43	0.4829180723
44	0.4819825445
45	0.4779015634
46	0.4758679312
47	0.4741084422
48	0.471722393
49	0.468883319
50	0.4677384916
51	0.4646159961
52	0.4614486525
