iter	Passed	Remaining
0	0	223
1	0	186
2	1	171
3	1	163
4	2	159
5	2	155
6	2	153
7	3	151
8	3	150
9	3	151
10	4	155
11	4	154
12	5	157
13	5	159
14	6	159
15	6	158
16	7	157
17	7	156
18	7	154
19	8	153
20	8	152
21	8	151
22	9	150
23	9	150
24	9	149
25	10	148
26	10	148
27	11	147
28	11	147
29	11	146
30	12	145
31	12	144
32	12	143
33	13	143
34	13	143
35	14	142
36	14	141
37	14	141
38	15	140
39	15	140
40	15	139
41	16	138
42	16	138
43	17	137
44	17	136
45	17	136
46	18	136
47	18	136
48	18	135
49	19	134
50	19	134
51	20	134
52	20	133
53	20	134
54	21	133
55	21	133
56	22	132
57	22	132
58	22	131
59	23	131
60	23	130
61	23	130
62	24	129
63	24	128
64	24	128
65	25	128
66	25	127
67	26	127
68	26	127
69	26	126
70	27	126
71	27	125
72	27	124
73	28	124
74	28	124
75	29	123
76	29	123
77	29	122
78	30	122
79	30	122
80	30	121
81	31	121
82	31	120
83	31	120
84	32	119
85	32	119
86	33	118
87	33	118
88	33	117
89	34	117
90	34	117
91	34	116
92	35	116
93	35	115
94	35	115
95	36	114
96	36	114
97	36	113
98	37	113
99	37	113
100	38	113
101	38	112
102	38	112
103	39	111
104	39	111
105	40	111
106	40	110
107	40	110
108	41	109
109	41	109
110	41	108
111	42	108
112	42	108
113	42	107
114	43	107
115	43	106
116	44	106
117	44	106
118	44	105
119	45	105
120	45	104
121	45	104
122	46	104
123	46	103
124	46	103
125	47	103
126	47	103
127	48	102
128	48	102
129	49	102
130	49	101
131	50	101
132	50	101
133	50	100
134	51	100
135	51	100
136	52	99
137	52	99
138	52	99
139	53	98
140	53	98
141	53	97
142	54	97
143	54	96
144	54	96
145	55	96
146	55	95
147	55	95
148	56	94
149	56	94
150	57	94
151	57	94
152	58	93
153	58	93
154	58	93
155	59	92
156	59	92
157	59	91
158	60	91
159	60	91
160	61	90
161	61	90
162	61	90
163	62	89
164	62	89
165	63	89
166	63	88
167	63	88
168	64	87
169	64	87
170	64	86
171	65	86
172	65	86
173	66	85
174	66	85
175	66	85
176	67	84
177	67	84
178	67	83
179	68	83
180	68	82
181	68	82
182	69	82
183	69	81
184	70	81
185	70	80
186	70	80
187	71	80
188	71	79
189	71	79
190	72	79
191	72	78
192	73	78
193	73	77
194	73	77
195	74	77
196	74	76
197	74	76
198	75	75
199	75	75
200	75	75
201	76	74
202	76	74
203	77	74
204	77	73
205	77	73
206	78	73
207	79	73
208	79	72
209	80	72
210	80	72
211	81	71
212	81	71
213	82	71
214	82	70
215	82	70
216	83	70
217	83	69
218	83	69
219	84	68
220	84	68
221	84	68
222	85	67
223	85	67
224	86	66
225	86	66
226	86	66
227	87	65
228	87	65
229	87	64
230	88	64
231	88	64
232	89	63
233	89	63
234	89	62
235	90	62
236	90	62
237	90	61
238	91	61
239	91	60
240	91	60
241	92	60
242	92	59
243	92	59
244	93	58
245	93	58
246	93	58
247	94	57
248	94	57
249	95	57
250	95	56
251	95	56
252	96	55
253	96	55
254	96	55
255	97	54
256	97	54
257	97	53
258	98	53
259	98	53
260	99	52
261	99	52
262	99	51
263	100	51
264	100	51
265	100	50
266	101	50
267	101	50
268	101	49
269	102	49
270	102	48
271	102	48
272	103	48
273	103	47
274	104	47
275	104	46
276	104	46
277	105	46
278	105	45
279	105	45
280	106	44
281	106	44
282	106	44
283	107	43
284	107	43
285	108	43
286	108	42
287	109	42
288	109	42
289	110	41
290	110	41
291	110	41
292	111	40
293	111	40
294	112	39
295	112	39
296	112	39
297	113	38
298	113	38
299	113	37
300	114	37
301	114	37
302	114	36
303	115	36
304	115	36
305	116	35
306	116	35
307	117	34
308	117	34
309	117	34
310	118	33
311	118	33
312	118	33
313	119	32
314	119	32
315	119	31
316	120	31
317	120	31
318	121	30
319	121	30
320	121	29
321	122	29
322	122	29
323	122	28
324	123	28
325	123	28
326	124	27
327	124	27
328	125	26
329	125	26
330	125	26
331	126	25
332	126	25
333	126	25
334	127	24
335	127	24
336	128	23
337	128	23
338	128	23
339	129	22
340	129	22
341	130	22
342	130	21
343	131	21
344	131	20
345	132	20
346	132	20
347	133	19
348	133	19
349	134	19
350	134	18
351	135	18
352	135	18
353	135	17
354	136	17
355	136	16
356	137	16
357	137	16
358	137	15
359	138	15
360	138	14
361	138	14
362	139	14
363	139	13
364	140	13
365	140	13
366	140	12
367	141	12
368	141	11
369	141	11
370	142	11
371	142	10
372	142	10
373	143	9
374	143	9
375	144	9
376	144	8
377	144	8
378	145	8
379	145	7
380	146	7
381	146	6
382	146	6
383	147	6
384	147	5
385	148	5
386	148	4
387	149	4
388	149	4
389	149	3
390	150	3
391	150	3
392	151	2
393	151	2
394	152	1
395	152	1
396	152	1
397	153	0
398	154	0
399	155	0
