atr,atr_stop,atr_to_price_ratio,fast_ema,slow_ema,ema_fast_deviation,pchange,avpchange,gma,positionBetweenBands,choppiness_index,volatility_percent,rsi_volatility,adx,rsi_delta,linear_regression,close_diff,normalized_price_change,rolling_mean_close,rolling_std_close,close,close_price_next,target_return
193.16462708,386.32925415,0.00894112,43206.65625000,43312.44531250,-1.49474895,-0.06908419,-0.09603603,-0.07964602,31.04490852,38.72035217,3.58302784,74.49498749,18.37371445,-1.32228434,-1.34154749,1.49474895,-0.01928095,43094.53125000,113.28551483,43208.14843750,43114.55078125,-0.00216626
192.97857666,385.95715332,0.00895190,43160.60156250,43293.59765625,46.05262375,-0.29082990,-0.10338730,-0.09114603,24.77432251,39.68205261,3.59080625,74.65800476,19.22616196,-3.70095730,-1.15779448,-46.05262375,-0.08099290,43108.25781250,105.55452728,43114.55078125,43150.67968750,0.00083800
189.83367920,379.66735840,0.00879864,43155.64062500,43279.98828125,4.96131277,-0.13318446,-0.10414588,-0.12150497,29.67329979,42.02454376,3.58779979,74.45989990,20.10718536,2.22293353,-1.00365055,-4.96131277,-0.03712147,43124.17578125,97.70089722,43150.67968750,43174.85937500,0.00056036
184.50627136,369.01254272,0.00854693,43165.25000000,43269.97656250,-9.60934353,0.13968778,-0.09325205,-0.13598894,33.37084961,43.18244171,3.58579040,74.31797028,20.91992378,1.50607717,-0.65902507,9.60934353,0.03895591,43149.49609375,67.53954315,43174.85937500,43171.10937500,-0.00008686
183.53654480,367.07308960,0.00850275,43168.17968750,43260.55859375,-2.92967176,0.04732331,-0.08562959,-0.13451336,34.45001221,44.22349548,3.44832468,65.16629028,21.58355331,-0.17347904,-0.53615004,2.92967176,0.01372356,43161.81640625,57.43008423,43171.10937500,43648.01953125,0.01104697
214.64036560,429.28073120,0.00983506,43408.10156250,43297.46093750,-239.91983032,1.08403540,-0.03424481,-0.12819205,77.66349030,41.79073715,3.31286502,57.63464355,21.17709541,21.33804512,0.07128470,239.91983032,0.32721981,43220.25781250,157.15316772,43648.01953125,43666.00000000,0.00041193
218.76033020,437.52066040,0.01001971,43537.05078125,43332.55859375,-128.94992065,1.13335323,0.02108583,-0.11492424,79.12882996,37.64915466,3.31150103,57.56249237,20.59385490,0.54307252,0.66786355,128.94992065,0.34224749,43271.58203125,208.18426514,43666.00000000,43674.08984375,0.00018527
217.96031189,435.92062378,0.00998122,43605.57031250,43365.08593750,-68.51995850,0.05969214,0.03302327,-0.10272469,80.65360260,40.90342331,3.31088758,57.52761841,20.03394508,0.25750098,1.55621672,68.51995850,0.01802904,43328.53906250,233.74258423,43674.08984375,43618.00000000,-0.00128429
212.16743469,424.33486938,0.00972843,43611.78515625,43389.17187500,-6.21497965,-0.11004631,0.03731798,-0.09321579,76.41870880,40.42845154,3.31514502,57.71909332,19.49643135,-3.15626693,2.30137587,6.21497965,-0.03319501,43366.53906250,247.85075378,43618.00000000,43501.69921875,-0.00266633
218.20118713,436.40237427,0.01003185,43556.74218750,43399.89062500,55.04251099,-0.39628336,0.02866814,-0.08128390,66.62906647,47.48760223,3.32400799,58.14213181,19.30348778,-6.02838182,2.81650138,-55.04251099,-0.11921850,43392.71484375,246.81500244,43501.69921875,43554.21093750,0.00120708
214.49539185,428.99078369,0.00984958,43555.47656250,43414.58593750,1.26625514,-0.14646116,0.02898788,-0.06951874,72.51355743,49.42509842,3.32000041,57.86022949,19.11826515,2.11639810,3.32695127,-1.26625514,-0.04411479,43427.32031250,242.28054810,43554.21093750,43449.76171875,-0.00239816
219.16072083,438.32144165,0.01008801,43502.61718750,43417.93750000,52.85812759,-0.11954036,0.02934958,-0.06410991,63.29397964,51.79771423,3.32798147,58.29391861,19.10943985,-5.09446812,3.63883519,-52.85812759,-0.03591977,43460.84375000,215.95764160,43449.76171875,43474.25000000,0.00056364
215.32351685,430.64703369,0.00990580,43488.43359375,43423.30078125,14.18406391,-0.18392497,0.02595625,-0.05950374,67.02233887,52.01680374,3.32610679,58.14254761,19.14025497,1.08457422,4.06324291,-14.18406391,-0.05529736,43493.19921875,186.56195068,43474.25000000,43418.00000000,-0.00129387
211.79042053,423.58084106,0.00975588,43453.21875000,43422.79687500,35.21703339,-0.07314938,0.02604817,-0.05370457,62.38951111,52.58006287,3.33041596,58.40987396,19.19371986,-2.73890352,4.31824303,-35.21703339,-0.02196403,43517.51562500,153.35188293,43418.00000000,43523.41015625,0.00242779
211.68753052,423.37506104,0.00972752,43488.31250000,43432.37890625,-35.09648514,0.11295070,0.03300646,-0.04236406,73.45600891,53.98209000,3.32235003,57.66744614,19.14008904,4.79953289,4.36486673,35.09648514,0.03399722,43552.74218750,93.85491943,43523.41015625,43680.14843750,0.00360128
213.64842224,427.29684448,0.00978240,43584.23046875,43455.97656250,-95.91824341,0.60015821,0.05979155,-0.03217682,87.89244843,54.56277466,3.31042814,56.52385712,18.69249153,6.03133297,4.52233553,95.91824341,0.18129317,43555.95703125,97.94003296,43680.14843750,43576.12890625,-0.00238140
206.04853821,412.09707642,0.00945694,43580.17968750,43467.41796875,4.05087900,0.12098367,0.06671291,-0.00013788,75.24214172,55.68292999,3.31833053,57.13070679,18.26279831,-5.23485327,3.96419358,-4.05087900,0.03645919,43546.96875000,90.56616974,43576.12890625,43446.85156250,-0.00296676
205.65649414,411.31298828,0.00946704,43513.51562500,43465.46093750,66.66543579,-0.53697795,0.04541968,0.03173337,60.24686432,56.69463730,3.32820439,57.92105865,18.15611839,-5.73624754,3.42418694,-66.66543579,-0.16134158,43524.24609375,83.34719849,43446.85156250,43503.19140625,0.00129676
199.55816650,399.11633301,0.00917442,43508.35156250,43469.05468750,5.16271973,-0.16766587,0.03792437,0.03699740,64.88159180,56.25115204,3.32389426,57.42336655,18.05370522,2.34326434,2.94015956,-5.16271973,-0.05044258,43512.76562500,76.63492584,43503.19140625,43407.60937500,-0.00219708
194.48187256,388.96374512,0.00896073,43457.98046875,43463.20312500,50.37136078,-0.09039889,0.03278124,0.03828568,52.12233353,65.86684418,3.33121324,58.08201218,17.98443985,-4.05791616,2.46771741,-50.37136078,-0.02713692,43503.35546875,83.60359955,43407.60937500,43451.46093750,0.00101019
189.03388977,378.06777954,0.00870092,43454.71875000,43462.08203125,3.26067996,-0.11905239,0.02580536,0.03714806,55.93603134,66.75988007,3.32785130,57.64093399,17.98905563,1.94098961,2.05311084,-3.26067996,-0.03577454,43493.08203125,82.97078705,43451.46093750,43450.00000000,-0.00003360
183.10717773,366.21435547,0.00842841,43452.35937500,43460.93359375,2.36033988,0.09756041,0.02734554,0.03864066,54.35513687,66.52375793,3.32796311,57.65245438,17.99348450,-0.06630145,1.69363809,-2.36033988,0.02931534,43493.10546875,82.95690155,43450.00000000,42764.85156250,-0.01576870
227.17166138,454.34332275,0.01062422,43108.60546875,43394.64062500,343.75515747,-1.60554755,-0.04255518,0.03724618,-23.61764717,40.32771301,3.38128161,62.84154892,18.92145729,-19.99845505,0.57162255,-343.75515747,-0.47483388,43422.16406250,245.31422424,42764.85156250,42690.46875000,-0.00173928
230.58726501,461.17453003,0.01080275,42899.53906250,43327.57421875,209.06758118,-1.77915585,-0.12246755,0.03219732,-17.35806274,36.51848221,3.38717294,63.37555695,19.90916252,-1.33451295,-0.32482746,-209.06758118,-0.52526265,43349.41015625,337.31649780,42690.46875000,42774.12109375,0.00195945
228.97245789,457.94491577,0.01070612,42836.82812500,43274.86328125,62.70879364,0.02167198,-0.12945269,0.02744571,-2.24968243,37.02712250,3.38054872,62.29158020,20.81760788,3.69655538,-1.03184223,-62.70879364,0.00641079,43274.48437500,375.43811035,42774.12109375,42706.42187500,-0.00158273
223.91371155,447.82742310,0.01048618,42771.62500000,43220.72656250,65.20439911,0.03734801,-0.13485064,0.02416462,-1.55220473,35.52216721,3.38590789,62.84526062,21.68971252,-1.38018441,-1.72028553,-65.20439911,0.01103043,43177.10937500,384.69305420,42706.42187500,42408.92187500,-0.00696617
249.13130188,498.26260376,0.01174900,42590.27343750,43143.41406250,181.35220337,-0.86113960,-0.17679101,0.01977956,-13.45732689,29.41514969,4.23495817,89.40032959,22.93401527,-5.19273806,-2.55625343,-181.35220337,-0.20334071,43060.39062500,425.12216187,42408.92187500,42644.87890625,0.00556392
253.85192871,507.70385742,0.01190539,42617.57421875,43095.93359375,-27.30390167,-0.14430806,-0.18891993,0.00999245,7.16280937,31.03753662,4.21152544,87.54074860,24.12854576,9.40948391,-3.12348294,27.30390167,-0.03426503,42980.19140625,419.72738647,42644.87890625,42685.55078125,0.00095369
249.07321167,498.14642334,0.01167014,42651.56250000,43056.84765625,-33.98694992,0.64806473,-0.16661850,-0.01130582,12.88169861,30.78790474,4.20751286,87.20623016,25.09266472,1.49104500,-3.58363128,33.98694992,0.15402557,42898.42968750,384.70382690,42685.55078125,42766.87890625,0.00190533
243.55513000,487.11026001,0.01138989,42709.22265625,43029.23437500,-57.65847397,0.28526747,-0.15690242,-0.02481778,19.92107773,31.05778885,4.19951153,86.49644470,25.91412544,2.99004722,-3.95224833,57.65847397,0.06792872,42834.35546875,341.39556885,42766.87890625,42714.67968750,-0.00122057
236.97761536,473.95523071,0.01109584,42711.94921875,42999.27734375,-2.72923756,0.06819669,-0.15436520,-0.03684100,19.41513824,33.76768112,4.20464325,86.57193756,26.70627213,-1.23938107,-3.88222480,2.72923756,0.01621937,42760.67578125,264.19213867,42714.67968750,42600.00000000,-0.00268479
240.34921265,480.69842529,0.01128400,42655.97656250,42961.25000000,55.97537994,-0.39173710,-0.16961232,-0.04885993,15.64477730,36.01091385,4.21596241,86.74790192,27.53807449,-2.64320993,-3.78754473,-55.97537994,-0.09291757,42675.67578125,108.82109070,42600.00000000,42391.50000000,-0.00489437
258.89642334,517.79284668,0.01221454,42523.73828125,42906.98828125,132.23768616,-0.76236981,-0.19970810,-0.05812700,7.77356720,40.06124115,4.23669863,87.08188629,28.56982803,-4.24122429,-3.70144010,-132.23768616,-0.17994428,42638.34375000,135.58268738,42391.50000000,42319.42187500,-0.00170034
265.48953247,530.97906494,0.01254694,42421.57812500,42851.02734375,102.15884399,-0.66300529,-0.22554024,-0.10361280,8.11866093,41.72726822,4.20865870,83.99906921,29.67560387,-1.33115947,-3.59843779,-102.15884399,-0.15753360,42601.23828125,166.88987732,42319.42187500,42009.98828125,-0.00731177
297.41171265,594.82342529,0.01415909,42215.78515625,42770.92968750,205.79441833,-0.90814114,-0.26129052,-0.15268217,-1.50076461,36.38137817,5.29988241,93.55763245,30.99365425,-4.92284203,-3.62958789,-205.79441833,-0.17135116,42524.82421875,238.50579834,42009.98828125,42163.53125000,0.00365485
301.00228882,602.00457764,0.01427785,42189.65625000,42713.08203125,26.12721062,-0.36972710,-0.27445933,-0.16250783,10.38263512,38.74694824,5.28058243,92.50510406,32.25898361,6.05924463,-3.43979263,-26.12721062,-0.07001633,42470.53515625,253.86968994,42163.53125000,42109.10937500,-0.00129069
296.12857056,592.25714111,0.01406482,42149.38281250,42655.56250000,40.27360535,0.23538849,-0.26126814,-0.17124870,11.58159447,49.86338806,5.28740692,92.53707886,33.19309616,-0.92936718,-3.28333259,-40.27360535,0.04451869,42440.55468750,278.46630859,42109.10937500,42135.12890625,0.00061792
287.76510620,575.53021240,0.01365915,42142.25781250,42605.99609375,7.12680292,-0.06740219,-0.25879326,-0.18930730,15.92139816,49.04149246,5.28414154,92.33412933,34.10156250,1.05991530,-3.00975084,-7.12680292,-0.01275556,42389.57812500,283.51791382,42135.12890625,42338.46875000,0.00482590
283.49902344,566.99804688,0.01339203,42240.36328125,42580.51562500,-98.10659790,0.54172957,-0.22948420,-0.19294794,27.45072174,49.51197815,5.25876331,90.66967010,34.73404312,7.79017735,-2.63676405,98.10659790,0.10301460,42354.87109375,263.81991577,42338.46875000,42469.98828125,0.00310639
282.28338623,564.56677246,0.01329331,42355.17578125,42569.99218750,-114.81330109,0.78846264,-0.18767020,-0.19148138,35.26884079,50.43445587,5.24247837,89.55406189,34.83665466,4.46014643,-2.05406928,114.81330109,0.15039881,42325.18359375,226.34660339,42469.98828125,42508.92968750,0.00091688
271.11956787,542.23913574,0.01275589,42432.05468750,42564.17578125,-76.87664795,0.40099809,-0.15981418,-0.19465479,38.76193237,46.43697739,5.23767614,89.20549011,34.93516159,1.28814459,-1.26539147,76.87664795,0.07656030,42304.60546875,194.05508423,42508.92968750,42353.78906250,-0.00364959
265.93316650,531.86633301,0.01255770,42392.92187500,42544.14062500,39.13167572,-0.27435562,-0.15897220,-0.19934121,32.06242371,45.32988358,5.25686121,89.38327789,35.08499527,-3.98246741,-0.62726551,-39.13167572,-0.05218999,42279.98437500,166.00415039,42353.78906250,42457.98046875,0.00245999
260.15222168,520.30444336,0.01225457,42425.44921875,42535.93359375,-32.52916336,-0.12000100,-0.15176331,-0.21037237,39.49911118,45.31110764,5.24396133,88.32984924,35.26720428,3.58412170,-0.03723091,32.52916336,-0.02288365,42286.63281250,172.18237305,42457.98046875,42215.98046875,-0.00569975
264.57205200,529.14410400,0.01253421,42320.71484375,42505.46093750,104.73542023,-0.32644036,-0.15319386,-0.22352587,26.22469139,46.73078537,5.13097191,79.49281311,35.56565857,-5.82686567,0.49257770,-104.73542023,-0.06362154,42276.28906250,173.09857178,42215.98046875,42234.66015625,0.00044249
262.27478027,524.54956055,0.01241988,42277.68750000,42479.67187500,43.02770996,-0.52876002,-0.16357973,-0.23109908,28.62432289,47.47427750,5.12545872,79.07709503,35.90331268,0.66454768,0.94668025,-43.02770996,-0.10316344,42298.75781250,147.36112976,42234.66015625,42300.00000000,0.00154707
253.54086304,507.08172607,0.01198775,42288.84375000,42462.55859375,-11.15614510,0.19862884,-0.14438276,-0.23577166,34.24525833,48.69697189,5.11754131,78.44268036,36.20778656,2.37938356,1.50888073,11.15614510,0.03881333,42312.40234375,139.55903625,42300.00000000,42454.26953125,0.00364704
248.30508423,496.61016846,0.01169753,42371.55859375,42461.76953125,-82.71307373,0.51728600,-0.11157703,-0.23063049,50.60727692,51.36698532,5.09894514,76.88244629,36.24094772,5.28739500,2.22299147,82.71307373,0.10144959,42346.92187500,125.68677521,42454.26953125,42426.01171875,-0.00066566
239.91900635,479.83801270,0.01131000,42398.78515625,42458.36328125,-27.22653580,0.29701120,-0.08739793,-0.21624076,48.93604279,49.04205704,5.10234165,76.97253418,36.09608459,-0.82126725,2.14483070,27.22653580,0.05821075,42376.00781250,102.80164337,42426.01171875,42455.82812500,0.00070287
229.25335693,458.50671387,0.01079962,42427.30859375,42458.12109375,-28.52326775,0.00367441,-0.07549387,-0.20726290,53.56483841,50.23944092,5.09875774,76.63318634,35.97494125,1.05454469,2.11618233,28.52326775,0.00072065,42387.74218750,104.72116852,42455.82812500,42714.00000000,0.00608091
238.46740723,476.93481445,0.01116577,42570.65234375,42482.49218750,-143.34663391,0.67422861,-0.03612524,-0.18333079,85.15635681,53.30856705,5.06794024,73.62716675,35.31724548,8.15475845,2.47567582,143.34663391,0.13303797,42412.14453125,146.22023010,42714.00000000,42732.44140625,0.00043171
229.51188660,459.02377319,0.01074181,42651.54687500,42506.29687500,-80.89331818,0.64730680,0.00246767,-0.15275906,86.99600983,51.69470215,5.06575346,73.40711212,34.68585587,0.52440333,2.79189014,80.89331818,0.12778093,42434.49609375,176.58773804,42732.44140625,43195.55859375,0.01083767
250.14532471,500.29064941,0.01158199,42923.55468750,42571.94140625,-272.00665283,1.11483681,0.06072263,-0.12973590,121.92445374,38.59543610,5.01144075,67.97357178,33.31156158,10.64506912,3.24335575,272.00665283,0.22245829,42518.67187500,294.86273193,43195.55859375,43019.10937500,-0.00408491
255.13493347,510.26986694,0.01186147,42971.33203125,42614.52734375,-47.77832794,0.66637826,0.10078052,-0.11892830,99.34912872,39.52072525,5.03199625,68.91146851,31.98446846,-5.96537495,3.58849502,47.77832794,0.13242818,42574.78515625,332.96032715,43019.10937500,42913.55859375,-0.00245356
257.05816650,514.11633301,0.01198028,42942.44531250,42643.00781250,28.88583565,-0.65713495,0.08492029,-0.10775534,87.61159515,39.70581055,5.04437304,69.49082184,30.88733292,-3.30628109,3.81156445,-28.88583565,-0.13027087,42644.54296875,322.33996582,42913.55859375,42912.85937500,-0.00001631
259.18472290,518.36944580,0.01207958,42927.65234375,42668.70703125,14.79291725,-0.24759477,0.08340623,-0.09784345,86.14810944,41.56549454,5.04445505,69.49488831,29.92668343,-0.02231307,4.03403378,-14.79291725,-0.04908255,42712.36328125,296.85772705,42912.85937500,42912.89843750,0.00000093
263.45010376,526.90020752,0.01227836,42920.27734375,42691.96484375,7.37645864,-0.00153800,0.09016053,-0.08812620,84.47922516,42.90009689,5.04445028,69.49431610,28.76839828,0.00103107,4.18509483,-7.37645864,-0.00030489,42773.65234375,263.67626953,42912.89843750,42980.64843750,0.00157878
266.20581055,532.41162109,0.01238724,42950.46484375,42719.45703125,-30.18677139,0.15772213,0.10200531,-0.06746208,87.07439423,44.15389633,5.03649902,68.47058868,27.73227882,1.80166888,4.27235842,30.18677139,0.03131582,42826.29296875,244.69032288,42980.64843750,43082.30859375,0.00236525
268.69824219,537.39648438,0.01247372,43016.38671875,42754.01562500,-65.92338562,0.39322403,0.12242831,-0.03994266,90.58573151,43.93268585,5.02461433,66.88468933,26.67277718,2.61183882,4.25837612,65.92338562,0.07825953,42891.92187500,211.10995483,43082.30859375,43021.98828125,-0.00140011
269.19552612,538.39105225,0.01251432,43019.18750000,42779.53515625,-2.80169272,0.09609039,0.12951429,-0.01780826,83.03694153,47.97659302,5.03165960,67.36719513,25.61451912,-2.40091991,4.11446238,2.80169272,0.01909715,42948.53906250,147.49555969,43021.98828125,43183.98046875,0.00376528
